Accession;Organism;Classification;Host;Country
KF848576.1;B. hominis;Species;Homo sapiens;Senegal
KF848575.1;ST2;ST;Homo sapiens;Senegal
KF848574.1;ST2;ST;Homo sapiens;Senegal
KF848573.1;ST1;ST;Homo sapiens;Senegal
KF848572.1;ST3;ST;Homo sapiens;Senegal
KF848571.1;B. hominis;Species;Homo sapiens;Senegal
KF848570.1;ST1;ST;Homo sapiens;Senegal
KF848569.1;ST1;ST;Homo sapiens;Senegal
KF848568.1;ST1;ST;Homo sapiens;Senegal
KF848567.1;B. hominis;Species;Homo sapiens;Senegal
KF848566.1;B. hominis;Species;Homo sapiens;Senegal
KF848565.1;ST2;ST;Homo sapiens;Senegal
KF848564.1;ST3;ST;Homo sapiens;Senegal
KF848563.1;ST3;ST;Homo sapiens;Senegal
KF848562.1;B. hominis;Species;Homo sapiens;Senegal
KF848561.1;ST3;ST;Homo sapiens;Senegal
KF848560.1;ST3;ST;Homo sapiens;Senegal
KF848559.1;ST3;ST;Homo sapiens;Senegal
KF848558.1;ST2;ST;Homo sapiens;Senegal
KF848557.1;ST1;ST;Homo sapiens;Senegal
KF848556.1;ST3;ST;Homo sapiens;Senegal
KF848555.1;ST2;ST;Homo sapiens;Senegal
KF848554.1;B. hominis;Species;Homo sapiens;Senegal
KF848553.1;ST1;ST;Homo sapiens;Senegal
KF848552.1;B. hominis;Species;Homo sapiens;Senegal
KF848551.1;B. hominis;Species;Homo sapiens;Senegal
KF848550.1;ST3;ST;Homo sapiens;Senegal
KF848549.1;ST3;ST;Homo sapiens;Senegal
KF848548.1;B. hominis;Species;Homo sapiens;Senegal
KF848547.1;B. hominis;Species;Homo sapiens;Senegal
KF848546.1;ST3;ST;Homo sapiens;Senegal
KF848545.1;ST2;ST;Homo sapiens;Senegal
KF848544.1;B. hominis;Species;Homo sapiens;Senegal
KF848543.1;B. hominis;Species;Homo sapiens;Senegal
KF848542.1;ST3;ST;Homo sapiens;Senegal
KF848541.1;B. hominis;Species;Homo sapiens;Senegal
KF848540.1;B. hominis;Species;Homo sapiens;Senegal
KF848539.1;ST2;ST;Homo sapiens;Senegal
KF848538.1;ST1;ST;Homo sapiens;Senegal
KF848537.1;B. hominis;Species;Homo sapiens;Senegal
KF848536.1;B. hominis;Species;Homo sapiens;Senegal
KF848535.1;ST3;ST;Homo sapiens;Senegal
KF848534.1;ST1;ST;Homo sapiens;Senegal
KF848533.1;B. hominis;Species;Homo sapiens;Senegal
KF848532.1;B. hominis;Species;Homo sapiens;Senegal
KF848531.1;ST3;ST;Homo sapiens;Senegal
KF848530.1;ST1;ST;Homo sapiens;Senegal
KF848529.1;ST2;ST;Homo sapiens;Senegal
KF848528.1;B. hominis;Species;Homo sapiens;Senegal
KF848527.1;B. hominis;Species;Homo sapiens;Senegal
KF848526.1;ST3;ST;Homo sapiens;Senegal
KF848525.1;B. hominis;Species;Homo sapiens;Senegal
KF848524.1;B. hominis;Species;Homo sapiens;Senegal
KF848523.1;ST2;ST;Homo sapiens;Senegal
KF848522.1;ST2;ST;Homo sapiens;Senegal
KF848521.1;B. hominis;Species;Homo sapiens;Senegal
KF848520.1;B. hominis;Species;Homo sapiens;Senegal
KF848519.1;ST3;ST;Homo sapiens;Senegal
KF848518.1;B. hominis;Species;Homo sapiens;Senegal
KF848517.1;B. hominis;Species;Homo sapiens;Senegal
KF848516.1;ST1;ST;Homo sapiens;Senegal
KF848515.1;B. hominis;Species;Homo sapiens;Senegal
KF848514.1;ST1;ST;Homo sapiens;Senegal
KF848513.1;B. hominis;Species;Homo sapiens;Senegal
KF848512.1;ST1;ST;Homo sapiens;Senegal
KF848511.1;B. hominis;Species;Homo sapiens;Senegal
KF848510.1;B. hominis;Species;Homo sapiens;Senegal
KF848509.1;B. hominis;Species;Homo sapiens;Senegal
KJ082063.1;ST5;ST;Suidae;Cambodia
KF285450.1;ST3;ST;Homo sapiens;Thailand
KF285449.1;ST3;ST;Homo sapiens;Thailand
KF285448.1;ST3;ST;Homo sapiens;Thailand
KF285447.1;ST2;ST;Homo sapiens;Thailand
KF285446.1;ST1;ST;Homo sapiens;Thailand
KF285445.1;ST1;ST;Homo sapiens;Thailand
KF285444.1;ST1;ST;Homo sapiens;Thailand
KF285443.1;ST1;ST;Homo sapiens;Thailand
JQ665872.1;ST1;ST;Homo sapiens;Thailand
JQ665871.1;ST1;ST;Homo sapiens;Thailand
JQ665870.1;ST1;ST;Homo sapiens;Thailand
JQ665869.1;ST1;ST;Homo sapiens;Thailand
JQ665868.1;ST1;ST;Homo sapiens;Thailand
JQ665867.1;ST1;ST;Homo sapiens;Thailand
JQ665866.1;ST1;ST;Homo sapiens;Thailand
JQ665865.1;ST1;ST;Homo sapiens;Thailand
JQ665864.1;ST1;ST;Homo sapiens;Thailand
JQ665863.1;ST1;ST;Homo sapiens;Thailand
JQ665862.1;ST1;ST;Homo sapiens;Thailand
JQ665861.1;ST1;ST;Homo sapiens;Thailand
JQ665860.1;ST1;ST;Homo sapiens;Thailand
JQ665859.1;ST1;ST;Homo sapiens;Thailand
JQ665858.1;ST1;ST;Homo sapiens;Thailand
JQ665857.1;ST1;ST;Homo sapiens;Thailand
JQ665856.1;ST1;ST;Homo sapiens;Thailand
JQ665855.1;ST1;ST;Homo sapiens;Thailand
JQ665854.1;ST1;ST;Homo sapiens;Thailand
JQ665853.1;ST1;ST;Homo sapiens;Thailand
JQ665852.1;ST1;ST;Homo sapiens;Thailand
JQ665851.1;ST1;ST;Homo sapiens;Thailand
JQ665850.1;ST6;ST;Homo sapiens;Thailand
JQ665849.1;ST6;ST;Homo sapiens;Thailand
JQ665848.1;ST2;ST;Homo sapiens;Thailand
JQ665847.1;ST1;ST;Homo sapiens;Thailand
JQ665846.1;ST1;ST;Homo sapiens;Thailand
JQ665845.1;ST1;ST;Homo sapiens;Thailand
JQ665844.1;ST1;ST;Homo sapiens;Thailand
JF792497.1;ST1;ST;Homo sapiens;Tanzania
JF792496.1;ST2;ST;Homo sapiens;Tanzania
JF792495.1;ST3;ST;Homo sapiens;Tanzania
JF792494.1;ST3;ST;Homo sapiens;Tanzania
HQ286916.1;ST3;ST;Primate;Tanzania
HQ286915.1;ST5;ST;Primate;Tanzania
HQ286914.1;ST2;ST;Primate;Tanzania
HQ286913.1;ST1;ST;Primate;Tanzania
HQ286912.1;ST1;ST;Primate;Tanzania
HQ286911.1;ST1;ST;Primate;Tanzania
HQ286910.1;ST2;ST;Primate;Tanzania
HQ286909.1;ST2;ST;Primate;Tanzania
HQ286908.1;ST3;ST;Primate;Tanzania
HQ286907.1;ST1;ST;Primate;Tanzania
HQ286906.1;ST1;ST;Primate;Tanzania
HQ286905.1;ST1;ST;Primate;Tanzania
HQ286904.1;ST1;ST;Primate;Tanzania
AY618267.1;ST1;ST;Homo sapiens;Thailand
JQ996370.1;ST14;ST;Bovidae;USA
JQ996369.1;ST10;ST;Bovidae;USA
JQ996368.1;ST10;ST;Bovidae;USA
JQ996367.1;ST10;ST;Bovidae;USA
JQ996366.1;ST10;ST;Bovidae;USA
JQ996365.1;ST10;ST;Bovidae;USA
JQ996364.1;ST10;ST;Bovidae;USA
JQ996363.1;ST10;ST;Bovidae;USA
JQ996362.1;ST10;ST;Bovidae;USA
JQ996361.1;ST14;ST;Bovidae;USA
JQ996360.1;ST10;ST;Bovidae;USA
JQ996359.1;ST10;ST;Bovidae;USA
JQ996358.1;ST14;ST;Bovidae;USA
JQ996357.1;ST14;ST;Bovidae;USA
JQ996356.1;ST14;ST;Bovidae;USA
JQ996355.1;ST14;ST;Bovidae;USA
HQ641661.1;ST7;ST;Galliformes;Spain
HQ641660.1;ST7;ST;Galliformes;Spain
HQ641659.1;ST6;ST;Galliformes;Spain
HQ641658.1;ST6;ST;Galliformes;Spain
HQ641657.1;ST3;ST;Primate;Spain
HQ641656.1;ST3;ST;Primate;Spain
HQ641655.1;ST2;ST;Primate;Spain
HQ641654.1;ST2;ST;Primate;Spain
HQ641653.1;ST3;ST;Primate;Spain
HQ641652.1;ST4;ST;Primate;Spain
HQ641651.1;ST3;ST;Primate;Spain
HQ641650.1;ST3;ST;Primate;Spain
HQ641649.1;ST3;ST;Primate;Spain
HQ641648.1;ST3;ST;Primate;Spain
HQ641647.1;ST3;ST;Primate;Spain
HQ641646.1;ST1;ST;Primate;Spain
HQ641645.1;ST2;ST;Primate;Spain
HQ641644.1;ST3;ST;Primate;Spain
HQ641643.1;ST2;ST;Primate;Spain
HQ641642.1;ST3;ST;Primate;Spain
HQ641641.1;ST1;ST;Primate;Spain
HQ641640.1;ST1;ST;Primate;Spain
HQ641639.1;ST1;ST;Primate;Spain
HQ641638.1;ST1;ST;Primate;Spain
HQ641637.1;ST1;ST;Primate;Spain
HQ641636.1;ST5;ST;Suidae;Spain
HQ641635.1;ST5;ST;Suidae;USA
HQ641634.1;ST5;ST;Suidae;USA
HQ641633.1;ST5;ST;Suidae;USA
HQ641632.1;ST5;ST;Suidae;USA
HQ641631.1;ST5;ST;Suidae;USA
HQ641630.1;ST5;ST;Suidae;USA
HQ641629.1;ST10;ST;Bovidae;USA
HQ641628.1;ST10;ST;Bovidae;USA
HQ641627.1;ST10;ST;Bovidae;USA
HQ641626.1;ST10;ST;Bovidae;USA
HQ641625.1;ST10;ST;Bovidae;USA
HQ641624.1;ST10;ST;Bovidae;USA
HQ641623.1;ST10;ST;Bovidae;USA
HQ641622.1;ST4;ST;Homo sapiens;USA
HQ641621.1;ST4;ST;Homo sapiens;Spain
HQ641620.1;ST2;ST;Homo sapiens;Colombia
HQ641619.1;ST2;ST;Homo sapiens;Colombia
HQ641618.1;ST2;ST;Homo sapiens;Colombia
HQ641617.1;ST2;ST;Homo sapiens;Colombia
HQ641616.1;ST1;ST;Homo sapiens;Colombia
HQ641615.1;ST2;ST;Homo sapiens;Colombia
HQ641614.1;ST2;ST;Homo sapiens;Colombia
HQ641613.1;ST3;ST;Homo sapiens;Colombia
HQ641612.1;ST3;ST;Homo sapiens;Colombia
HQ641611.1;ST3;ST;Homo sapiens;Colombia
HQ641610.1;ST3;ST;Homo sapiens;Colombia
HQ641609.1;ST3;ST;Homo sapiens;Colombia
HQ641608.1;ST3;ST;Homo sapiens;Colombia
HQ641607.1;ST3;ST;Homo sapiens;Colombia
HQ641606.1;ST3;ST;Homo sapiens;Colombia
HQ641605.1;ST2;ST;Homo sapiens;Colombia
HQ641604.1;ST2;ST;Homo sapiens;Colombia
HQ641603.1;ST2;ST;Homo sapiens;Colombia
HQ641602.1;ST2;ST;Homo sapiens;Colombia
HQ641601.1;ST2;ST;Homo sapiens;Colombia
HQ641600.1;ST2;ST;Homo sapiens;Colombia
HQ641599.1;ST2;ST;Homo sapiens;Colombia
HQ641598.1;ST1;ST;Homo sapiens;Colombia
HQ641597.1;ST1;ST;Homo sapiens;Colombia
HQ641596.1;ST1;ST;Homo sapiens;Colombia
HQ641595.1;ST1;ST;Homo sapiens;Colombia
GU256937.1;ST12;ST;Macropodidae;Australia
GU256936.1;ST12;ST;Macropodidae;Australia
GU256935.1;ST13;ST;Macropodidae;Australia
GU256934.1;ST13;ST;Macropodidae;Australia
GU256933.1;ST11;ST;Proboscidea;Australia
GU256932.1;ST11;ST;Proboscidea;Australia
GU256931.1;ST11;ST;Proboscidea;Netherlands
GU256930.1;ST11;ST;Proboscidea;Netherlands
GU256929.1;ST11;ST;Proboscidea;Netherlands
GU256928.1;ST11;ST;Proboscidea;Netherlands
GU256927.1;ST11;ST;Proboscidea;Netherlands
GU256926.1;ST11;ST;Proboscidea;Netherlands
GU256925.1;ST12;ST;Giraffidae;Netherlands
GU256924.1;ST12;ST;Giraffidae;Netherlands
GU256923.1;ST12;ST;Giraffidae;Netherlands
GU256922.1;ST11;ST;Proboscidea;Australia
GU256921.1;ST12;ST;Giraffidae;Australia
GU256920.1;ST12;ST;Giraffidae;Netherlands
GU256919.1;ST12;ST;Giraffidae;Netherlands
GU256918.1;ST12;ST;Giraffidae;Netherlands
GU256917.1;ST12;ST;Giraffidae;Netherlands
GU256916.1;ST12;ST;Giraffidae;Netherlands
GU256915.1;ST12;ST;Giraffidae;Netherlands
GU256914.1;ST12;ST;Giraffidae;Netherlands
GU256913.1;ST12;ST;Giraffidae;Belgium
GU256912.1;ST12;ST;Giraffidae;Belgium
GU256911.1;ST12;ST;Giraffidae;Belgium
GU256910.1;ST12;ST;Giraffidae;Belgium
GU256909.1;ST11;ST;Proboscidea;Belgium
GU256908.1;ST11;ST;Proboscidea;Belgium
GU256907.1;ST11;ST;Proboscidea;Belgium
GU256906.1;ST12;ST;Giraffidae;Australia
GU256905.1;ST12;ST;Giraffidae;Australia
GU256904.1;ST11;ST;Proboscidea;Australia
GU256903.1;ST11;ST;Proboscidea;Australia
GU256902.1;ST12;ST;Giraffidae;Australia
GU256901.1;ST11;ST;Proboscidea;Australia
GU256900.1;ST11;ST;Proboscidea;Australia
GU256899.1;ST12;ST;Giraffidae;Australia
AY618265.1;ST2;ST;Homo sapiens;Thailand
EF680770.1;ST1;ST;Suidae;Spain
EF680769.1;ST1;ST;Suidae;Spain
EF680768.1;ST1;ST;Suidae;Spain
EF680767.1;ST1;ST;Suidae;Spain
EF680766.1;ST1;ST;Suidae;Spain
EF680765.1;ST2;ST;Suidae;Spain
EF680764.1;ST1;ST;Suidae;Spain
EF680763.1;ST1;ST;Suidae;Spain
EF680762.1;ST2;ST;Suidae;Spain
EF680761.1;ST2;ST;Suidae;Spain
FM164413.1;ST10;ST;Bovidae;Denmark
FM164412.1;ST10;ST;Bovidae;Denmark
EF200010.1;ST2;ST;Homo sapiens;Thailand
AM779059.1;ST1;ST;Homo sapiens;Turkey
AM779058.1;ST1;ST;Homo sapiens;Turkey
AM779057.1;ST1;ST;Homo sapiens;Turkey
AM779056.1;ST1;ST;Homo sapiens;Turkey
AM779055.1;ST1;ST;Homo sapiens;Turkey
AM779054.1;ST1;ST;Homo sapiens;Turkey
AM779053.1;ST2;ST;Homo sapiens;Turkey
AM779052.1;ST2;ST;Homo sapiens;Turkey
AM779051.1;ST2;ST;Homo sapiens;Turkey
AM779050.1;ST2;ST;Homo sapiens;Turkey
AM779049.1;ST2;ST;Homo sapiens;Turkey
AM779048.1;ST3;ST;Homo sapiens;Turkey
AM779047.1;ST3;ST;Homo sapiens;Turkey
AM779046.1;ST3;ST;Homo sapiens;Turkey
AM779045.1;ST3;ST;Homo sapiens;Turkey
AM779044.1;ST3;ST;Homo sapiens;Turkey
AM779043.1;ST3;ST;Homo sapiens;Turkey
AM779042.1;ST3;ST;Homo sapiens;Turkey
AM779041.1;ST3;ST;Homo sapiens;Turkey
AM779040.1;ST3;ST;Homo sapiens;Turkey
AM779039.1;ST3;ST;Homo sapiens;Turkey
AM779038.1;ST3;ST;Homo sapiens;Turkey
AM779037.1;ST3;ST;Homo sapiens;Turkey
AM779036.1;ST3;ST;Homo sapiens;Turkey
AM779035.1;ST3;ST;Homo sapiens;Turkey
AM779034.1;ST3;ST;Homo sapiens;Turkey
AM779033.1;ST3;ST;Homo sapiens;Turkey
AM779032.1;ST3;ST;Homo sapiens;Turkey
AM779031.1;ST3;ST;Homo sapiens;Turkey
AM779030.1;ST3;ST;Homo sapiens;Turkey
AM779029.1;ST3;ST;Homo sapiens;Turkey
AM779028.1;ST3;ST;Homo sapiens;Turkey
AM779027.1;ST3;ST;Homo sapiens;Turkey
AM779026.1;ST3;ST;Homo sapiens;Turkey
AM779025.1;ST3;ST;Homo sapiens;Turkey
AM779024.1;ST3;ST;Homo sapiens;Turkey
AM779023.1;ST3;ST;Homo sapiens;Turkey
AM779022.1;ST3;ST;Homo sapiens;Turkey
AM779021.1;ST3;ST;Homo sapiens;Turkey
AM779020.1;ST3;ST;Homo sapiens;Turkey
AM779019.1;ST3;ST;Homo sapiens;Turkey
AM779018.1;ST3;ST;Homo sapiens;Turkey
AM779017.1;ST3;ST;Homo sapiens;Turkey
AM779016.1;ST3;ST;Homo sapiens;Turkey
AM779015.1;ST3;ST;Homo sapiens;Turkey
AM779014.1;ST3;ST;Homo sapiens;Turkey
AM779013.1;ST3;ST;Homo sapiens;Turkey
AM779012.1;ST3;ST;Homo sapiens;Turkey
AM779011.1;ST3;ST;Homo sapiens;Turkey
AM779010.1;ST3;ST;Homo sapiens;Turkey
AM779009.1;ST3;ST;Homo sapiens;Turkey
AM779008.1;ST3;ST;Homo sapiens;Turkey
AM779007.1;ST3;ST;Homo sapiens;Turkey
AM779006.1;ST3;ST;Homo sapiens;Turkey
AM779005.1;ST3;ST;Homo sapiens;Turkey
AM779004.1;ST3;ST;Homo sapiens;Turkey
AM712471.1;ST3;ST;Homo sapiens;Denmark
AM712469.1;ST3;ST;Homo sapiens;Denmark
AM712468.1;ST2;ST;Homo sapiens;Denmark
AM712467.1;ST2;ST;Homo sapiens;Denmark
AM712466.1;ST4;ST;Homo sapiens;Denmark
AM712465.1;ST3;ST;Homo sapiens;Denmark
AM712464.1;ST2;ST;Homo sapiens;Denmark
AM712463.1;ST3;ST;Homo sapiens;Denmark
AM712462.1;ST1;ST;Homo sapiens;Denmark
AM712461.1;ST1;ST;Homo sapiens;Denmark
AM712460.1;ST3;ST;Homo sapiens;Denmark
AM712459.1;ST1;ST;Homo sapiens;Denmark
AM712458.1;ST1;ST;Homo sapiens;Denmark
AM712457.1;ST2;ST;Homo sapiens;Denmark
AM712456.1;ST3;ST;Homo sapiens;Denmark
AM712455.1;ST1;ST;Homo sapiens;Denmark
AM712454.1;ST3;ST;Homo sapiens;Denmark
AM712453.1;ST3;ST;Homo sapiens;Denmark
AM712452.1;ST3;ST;Homo sapiens;Denmark
AM712451.1;ST1;ST;Homo sapiens;Denmark
AM712450.1;ST3;ST;Homo sapiens;Denmark
AM712449.1;ST2;ST;Homo sapiens;Denmark
AM778994.1;ST4;ST;Homo sapiens;Turkey
AM778993.1;ST3;ST;Homo sapiens;Turkey
AM778992.1;ST3;ST;Homo sapiens;Turkey
AM778991.1;ST3;ST;Homo sapiens;Turkey
AM778990.1;ST3;ST;Homo sapiens;Turkey
AM778989.1;ST3;ST;Homo sapiens;Turkey
AM778988.1;ST3;ST;Homo sapiens;Turkey
AM778987.1;ST3;ST;Homo sapiens;Turkey
AM778986.1;ST3;ST;Homo sapiens;Turkey
AM778985.1;ST3;ST;Homo sapiens;Turkey
AM495096.1;ST8;ST;Homo sapiens;Denmark
AY618268.1;ST3;ST;Homo sapiens;Thailand
AY618266.1;ST1;ST;Homo sapiens;Thailand
AY266475.1;ST5;ST;Squamata;Singapore
AY266474.1;B. cycluri;Species;Squamata;Singapore
AY266473.1;ST15;ST;Testudines;Singapore
AY266472.1;ST5;ST;Squamata;Singapore
AY266471.1;ST5;ST;Squamata;Singapore
AY266470.1;ST15;ST;Anura;Japan
AY266469.1;ST5;ST;Anura;Japan
AY266468.1;ST15;ST;Anura;Japan
AY266467.1;ST5;ST;Anura;Japan
AY244621.1;ST4;ST;Homo sapiens;Japan
AY244620.1;ST4;ST;Homo sapiens;Germany
AY244619.1;ST4;ST;Homo sapiens;Germany
AF538349.1;ST1;ST;Equidae;Thailand
AF538348.1;ST1;ST;Suidae;Thailand
AF439782.2;ST1;ST;Homo sapiens;Thailand
